id,productCode,productName,barcode,sku,category,productLocation,managementLevel,registeredBy,brand,year,season,saleStatus,saleStatusText,supplierCategory,supplierDetail,quantity,lowStockThreshold,stockStatus,stockStatusText,reservedQuantity,damagedQuantity,returningQuantity,inspectionQuantity,availableQuantity,availabilityRate,dailyInboundQty,dailyOutboundQty,costPrice,sellingPrice,currentPrice,optionSalesPrice,totalStockValue,averageUnitPrice,costPerUnit,marginPercentage,costPrice,sellingPrice,currentPrice,optionSalesPrice,totalStockValue,averageUnitPrice,costPerUnit,marginPercentage,productRegistrationDate,lastModifiedDate,productPublishDate,soldOutPredictionDate,poSettingDate,expectedPoDate,hasShippingHistory,isDisplayed,includeUnreceivedQuantity,useStockSync,preventOptionCombination,tags,daysWithoutOrder,lastOrderDate,building,zone,aisle,rack,shelf,bay,level,locationCode,optionSize,optionColor,optionMaterial,quantityByOption,showDetailLocation,showAvailableQty,showDailyInOut,showUnitPrice,showOptionQty,showBarcode,simpleView
1,PROD-00001,에코 티셔츠 #1,880000000000001,SKU-00000001,의류,A,높음,user1,Nike,2024,봄,selling,판매중,가방,공급처-1,2500,50,in_stock,재고충분,300,50,150,100,1900,76,500,300,25000,35000,32000,35200,80000000,32000,25000,28.6,25000,35000,32000,35200,80000000,32000,25000,28.6,2024-01-15T00:00:00Z,2025-11-07T12:30:00Z,2024-01-16T00:00:00Z,2025-12-15T00:00:00Z,2025-10-08T00:00:00Z,2025-11-20T00:00:00Z,true,true,false,true,false,"신상,할인",45,2025-09-24T00:00:00Z,A,02,A1,5,상,3,2,A-02-A1-5-상-3,M,검정,면100%,250,true,true,false,false,false,false,false
2,PROD-00002,데님 팬츠 #2,880000000000002,SKU-00000002,의류,B,중간,user2,Adidas,2024,여름,sold_out,품절,신발,공급처-2,5,50,low_stock,적은재고,0,2,1,1,1,20,100,150,35000,50000,45000,49500,225000,45000,35000,22.2,35000,50000,45000,49500,225000,45000,35000,22.2,2024-03-10T00:00:00Z,2025-11-06T15:45:00Z,2024-03-11T00:00:00Z,2025-11-20T00:00:00Z,2025-10-15T00:00:00Z,2025-11-25T00:00:00Z,true,false,true,false,true,"프리미엄,제한판",120,2025-07-10T00:00:00Z,B,01,B2,3,중,2,1,B-01-B2-3-중-2,L,파랑,폴리,3,true,true,true,true,true,false,false
3,PROD-00003,스포츠 조끼 #3,880000000000003,SKU-00000003,의류,C,낮음,user3,Puma,2025,가을,selling,판매중,의류,공급처-3,1200,50,in_stock,재고충분,200,30,50,100,820,68.3,200,250,15000,22000,20000,22000,24000000,20000,15000,25,15000,22000,20000,22000,24000000,20000,15000,25,2024-06-20T00:00:00Z,2025-11-05T10:15:00Z,2024-06-21T00:00:00Z,2025-12-10T00:00:00Z,2025-09-20T00:00:00Z,2025-12-05T00:00:00Z,true,true,false,true,false,"할인,세일",80,2025-08-20T00:00:00Z,C,03,C1,7,상,1,3,C-03-C1-7-상-1,S,흰색,면100%,400,true,true,true,false,true,true,false
4,PROD-00004,캐주얼 셔츠 #4,880000000000004,SKU-00000004,의류,D,높음,admin,Gucci,2024,봄,discontinued,단종,액세서리,공급처-4,50,50,low_stock,적은재고,10,5,5,10,20,40,50,100,45000,65000,58000,63800,2900000,58000,45000,20.7,45000,65000,58000,63800,2900000,58000,45000,20.7,2023-12-01T00:00:00Z,2025-11-04T16:20:00Z,2023-12-02T00:00:00Z,2025-11-15T00:00:00Z,2025-11-01T00:00:00Z,2025-11-30T00:00:00Z,false,false,true,false,true,"프리미엄",200,2025-04-30T00:00:00Z,D,04,D1,2,하,4,0,D-04-D1-2-하-4,XL,검정,울,15,false,true,true,true,false,false,true
5,PROD-00005,프리미엄 코트 #5,880000000000005,SKU-00000005,의류,A,중간,manager,Zara,2023,겨울,selling,판매중,가방,공급처-5,800,50,in_stock,재고충분,150,40,80,50,480,60,300,200,55000,85000,75000,82500,60000000,75000,55000,26.7,55000,85000,75000,82500,60000000,75000,55000,26.7,2023-09-15T00:00:00Z,2025-11-08T08:00:00Z,2023-09-16T00:00:00Z,2025-12-20T00:00:00Z,2025-08-15T00:00:00Z,2025-12-10T00:00:00Z,true,true,false,true,false,"신상,인기",15,2025-10-25T00:00:00Z,A,02,A2,4,중,2,2,A-02-A2-4-중-2,M,갈색,울,250,true,true,true,true,false,true,false
6,PROD-00006,운동화 #6,880000000000006,SKU-00000006,신발,B,높음,user1,Nike,2024,봄,selling,판매중,신발,공급처-6,3500,50,in_stock,재고충분,600,80,150,200,2470,70.6,450,550,18000,28000,25000,27500,87500000,25000,18000,28,18000,28000,25000,27500,87500000,25000,18000,28,2024-02-10T00:00:00Z,2025-11-07T14:30:00Z,2024-02-11T00:00:00Z,2025-12-25T00:00:00Z,2025-10-10T00:00:00Z,2025-12-15T00:00:00Z,true,true,true,true,false,"신상,할인",5,2025-11-03T00:00:00Z,B,02,B1,6,상,3,1,B-02-B1-6-상-3,42,검정,텍스타일,800,true,true,false,true,true,true,false
7,PROD-00007,캐주얼 스니커즈 #7,880000000000007,SKU-00000007,신발,C,중간,user2,Adidas,2024,여름,selling,판매중,신발,공급처-7,2200,50,in_stock,재고충분,350,45,100,150,1555,70.7,280,320,22000,35000,32000,35200,70400000,32000,22000,31.3,22000,35000,32000,35200,70400000,32000,22000,31.3,2024-04-05T00:00:00Z,2025-11-06T11:45:00Z,2024-04-06T00:00:00Z,2025-12-01T00:00:00Z,2025-09-25T00:00:00Z,2025-11-28T00:00:00Z,true,true,false,true,true,"할인,인기",30,2025-10-09T00:00:00Z,C,01,C2,5,중,2,2,C-01-C2-5-중-2,40,흰색,메시,600,true,true,true,false,true,false,false
8,PROD-00008,정장 구두 #8,880000000000008,SKU-00000008,신발,D,낮음,user3,Puma,2023,겨울,sold_out,품절,신발,공급처-8,120,50,low_stock,적은재고,50,10,20,15,25,20.8,80,120,38000,58000,52000,57200,6240000,52000,38000,26.9,38000,58000,52000,57200,6240000,52000,38000,26.9,2023-11-20T00:00:00Z,2025-11-05T09:30:00Z,2023-11-21T00:00:00Z,2025-11-25T00:00:00Z,2025-10-20T00:00:00Z,2025-11-30T00:00:00Z,false,false,true,false,false,"프리미엄,제한판",180,2025-05-20T00:00:00Z,D,03,D2,4,하,1,3,D-03-D2-4-하-3,44,검정,가죽,45,false,true,true,true,false,true,true
9,PROD-00009,캔버스 가방 #9,880000000000009,SKU-00000009,가방,A,높음,admin,H&M,2024,봄,selling,판매중,가방,공급처-9,1800,50,in_stock,재고충분,250,40,90,100,1320,73.3,320,280,12000,19000,17000,18700,30600000,17000,12000,29.4,12000,19000,17000,18700,30600000,17000,12000,29.4,2024-03-15T00:00:00Z,2025-11-07T13:00:00Z,2024-03-16T00:00:00Z,2025-12-05T00:00:00Z,2025-09-30T00:00:00Z,2025-11-25T00:00:00Z,true,true,false,true,true,"신상,할인",60,2025-09-08T00:00:00Z,A,01,A3,3,중,1,2,A-01-A3-3-중-1,원사이즈,회색,캔버스,450,true,true,true,false,true,false,false
10,PROD-00010,백팩 #10,880000000000010,SKU-00000010,가방,B,중간,manager,UNIQLO,2024,여름,selling,판매중,가방,공급처-10,2600,50,in_stock,재고충분,400,60,120,150,1870,71.9,350,400,16000,26000,24000,26400,62400000,24000,16000,33.3,16000,26000,24000,26400,62400000,24000,16000,33.3,2024-05-20T00:00:00Z,2025-11-08T10:20:00Z,2024-05-21T00:00:00Z,2025-12-10T00:00:00Z,2025-10-05T00:00:00Z,2025-12-01T00:00:00Z,true,true,true,true,false,"인기,세일",20,2025-10-19T00:00:00Z,B,03,B3,5,상,2,1,B-03-B3-5-상-2,원사이즈,검정,폴리,700,true,true,false,false,true,true,false
